session_id,anchor_id,anchor_name,platform,title,start_time,end_time,status,total_viewers,peak_viewers,total_gmv,total_profit,roi,paid_orders,click_conversion_rate,return_rate,gmv_achievement_rate
淘宝直播_20260605_0587bf16,TB_6072,淘宝主播1,淘宝直播,淘宝优选直播间1,2026-06-05T23:38:00,,live,47704,66656,220436.69,164234.53,2.9222,231,0.0232,0,0.3476
B站直播_20260605_59d82ef8,BZ_4936,B站UP主播2,B站直播,B站带货2期,2026-06-05T22:55:00,,live,0,0,0,0,0,0,0,0,0
抖音_20260605_c25af270,DY_6058,抖音主播4,抖音,直播间4 - 好物推荐,2026-06-05T22:31:00,,live,26227,39669,68938.74,43949.53,1.7587,184,0.0284,0,0.0826
视频号_20260605_2b4fdbfb,WX_3743,视频号主播1,视频号,私域直播间1,2026-06-05T22:22:00,,live,0,0,0,0,0,0,0,0,0
快手_20260605_25567719,KS_1248,快手主播1,快手,老铁直播间1,2026-06-05T22:11:00,,live,20307,36393,24513.69,14402.26,1.4244,66,0.0155,0,0.0182
淘宝直播_20260605_8d2abff0,TB_3340,淘宝主播5,淘宝直播,淘宝优选直播间5,2026-06-05T22:05:00,,live,0,0,0,0,0,0,0,0,0
抖音_20260605_56150c9b,DY_5792,抖音主播2,抖音,直播间2 - 好物推荐,2026-06-05T21:19:00,,live,23027,49360,76996.4,48334.3,1.6863,161,0.033,0,0.0471
抖音_20260605_91575df5,DY_4647,抖音主播1,抖音,直播间1 - 好物推荐,2026-06-05T21:02:00,,live,18432,48008,70757.6,53127.42,3.0134,165,0.0384,0,0.0468
淘宝直播_20260605_956ae63a,TB_9454,淘宝主播4,淘宝直播,淘宝优选直播间4,2026-06-05T20:46:00,,live,43647,65557,365492.56,240656.23,1.9278,380,0.034,0,0.1455
淘宝直播_20260605_80977fc7,TB_4220,淘宝主播2,淘宝直播,淘宝优选直播间2,2026-06-05T20:44:00,,live,43704,77524,178025.96,128310.93,2.5809,163,0.0128,0,0.063
淘宝直播_20260605_8f0be9f8,TB_6406,淘宝主播3,淘宝直播,淘宝优选直播间3,2026-06-05T20:43:00,,live,37364,75787,54948.38,30258.37,1.2255,64,0.0054,0,0.0438
B站直播_20260605_7201bb5f,BZ_6822,B站UP主播1,B站直播,B站带货1期,2026-06-05T20:28:00,,live,0,0,0,0,0,0,0,0,0
快手_20260605_1cec41e0,KS_2863,快手主播2,快手,老铁直播间2,2026-06-05T19:06:00,,live,23425,37314,26935.36,14197.22,1.1145,49,0.0124,0,0.0562
抖音_20260605_b48735c2,DY_6194,抖音主播3,抖音,直播间3 - 好物推荐,2026-06-05T18:45:00,,live,24549,46806,66394,50553.29,3.1914,127,0.0365,0,0.1638
淘宝直播_20260605_66e6a2d7,TB_5126,淘宝主播1,淘宝直播,淘宝优选直播间1,2026-06-01T23:53:00,,live,0,0,0,0,0,0,0,0,0
B站直播_20260605_14dad6c1,BZ_6022,B站UP主播1,B站直播,B站带货1期,2026-06-01T23:01:00,,live,0,0,0,0,0,0,0,0,0
抖音_20260605_3087a5f6,DY_8427,抖音主播5,抖音,直播间5 - 好物推荐,2026-06-01T22:34:00,,live,0,0,0,0,0,0,0,0,0
抖音_20260605_f717044b,DY_1993,抖音主播4,抖音,直播间4 - 好物推荐,2026-06-01T21:43:00,,live,0,0,0,0,0,0,0,0,0
B站直播_20260605_e0e75d88,BZ_8177,B站UP主播2,B站直播,B站带货2期,2026-06-01T21:39:00,,live,0,0,0,0,0,0,0,0,0
抖音_20260605_08299f29,DY_9366,抖音主播3,抖音,直播间3 - 好物推荐,2026-06-01T21:36:00,,live,0,0,0,0,0,0,0,0,0
淘宝直播_20260605_2af61088,TB_7621,淘宝主播3,淘宝直播,淘宝优选直播间3,2026-06-01T21:31:00,,live,0,0,0,0,0,0,0,0,0
淘宝直播_20260605_e1bc2ab5,TB_2990,淘宝主播2,淘宝直播,淘宝优选直播间2,2026-06-01T21:28:00,,live,0,0,0,0,0,0,0,0,0
快手_20260605_5baec874,KS_9132,快手主播1,快手,老铁直播间1,2026-06-01T21:26:00,,live,0,0,0,0,0,0,0,0,0
视频号_20260605_f409e7f8,WX_4337,视频号主播2,视频号,私域直播间2,2026-06-01T21:07:00,,live,0,0,0,0,0,0,0,0,0
视频号_20260605_56f85d3c,WX_5680,视频号主播1,视频号,私域直播间1,2026-06-01T20:45:00,,live,0,0,0,0,0,0,0,0,0
抖音_20260605_2a939a18,DY_6681,抖音主播1,抖音,直播间1 - 好物推荐,2026-06-01T20:31:00,,live,0,0,0,0,0,0,0,0,0
抖音_20260605_402286d6,DY_7541,抖音主播2,抖音,直播间2 - 好物推荐,2026-06-01T19:13:00,,live,0,0,0,0,0,0,0,0,0
