order_id,session_id,anchor_id,product_sku,platform,quantity,unit_price,total_amount,discount_amount,paid_amount,profit,status,order_time,paid_time
ORD_b8c4c7a0924f,抖音_20260605_2a939a18,DY_6681,SKU9956,抖音,2,289.416867,578.83,55.42,523.41,0,paid,2026-06-05T22:31:27.010418,
ORD_eecfc5fe9bd8,抖音_20260605_2a939a18,DY_6681,SKU6373,抖音,3,441.346695,1324.04,99.57,1224.47,0,completed,2026-06-05T22:31:27.010105,
ORD_d10c097d9020,抖音_20260605_2a939a18,DY_6681,SKU3984,抖音,1,108.440552,108.44,0.37,108.07,0,paid,2026-06-05T22:31:27.009752,
ORD_a7267d6a8a8a,抖音_20260605_2a939a18,DY_6681,SKU4045,抖音,1,906.865718,906.87,20.19,886.68,0,paid,2026-06-05T22:31:27.009295,
ORD_2a4c7676bb04,抖音_20260605_2a939a18,DY_6681,SKU9347,抖音,1,958.022855,958.02,112.33,845.69,0,paid,2026-06-05T22:31:27.008946,
ORD_e2de3eb8cc72,抖音_20260605_2a939a18,DY_6681,SKU9329,抖音,5,450.22024,2251.1,58.89,2192.21,0,pending,2026-06-05T22:31:27.008670,
ORD_2b6967dab501,抖音_20260605_2a939a18,DY_6681,SKU5046,抖音,1,776.509848,776.51,26.6,749.91,0,shipped,2026-06-05T22:31:27.008388,
ORD_220033616a83,抖音_20260605_2a939a18,DY_6681,SKU9671,抖音,1,371.950609,371.95,42.27,329.68,0,pending,2026-06-05T22:31:27.008099,
ORD_d63d2613a0e4,抖音_20260605_2a939a18,DY_6681,SKU8951,抖音,3,426.286566,1278.86,29.35,1249.51,0,shipped,2026-06-05T22:31:27.007782,
ORD_8aad24d38c6f,抖音_20260605_2a939a18,DY_6681,SKU9254,抖音,3,118.004488,354.01,33.93,320.08,0,completed,2026-06-05T22:31:27.007239,
ORD_44f8d3844624,抖音_20260605_2a939a18,DY_6681,SKU5283,抖音,3,251.331642,753.99,53.03,700.96,0,shipped,2026-06-05T22:31:27.006778,
ORD_f88c86211dd7,抖音_20260605_2a939a18,DY_6681,SKU7188,抖音,1,161.733318,161.73,6.51,155.22,0,shipped,2026-06-05T22:31:27.006316,
ORD_5e8aa3845a95,抖音_20260605_2a939a18,DY_6681,SKU9395,抖音,4,641.152296,2564.61,271.81,2292.8,0,pending,2026-06-05T22:31:27.005970,
ORD_229c0fd5ddf1,抖音_20260605_2a939a18,DY_6681,SKU5346,抖音,5,679.934207,3399.67,309.14,3090.53,0,paid,2026-06-05T22:31:27.005591,
ORD_4b65d61ff5b5,抖音_20260605_2a939a18,DY_6681,SKU3074,抖音,5,793.198654,3965.99,409.93,3556.06,0,shipped,2026-06-05T22:31:27.005025,
ORD_6bc10d8f60f2,抖音_20260605_2a939a18,DY_6681,SKU2678,抖音,1,653.908284,653.91,56.69,597.22,0,pending,2026-06-05T22:31:27.004535,
ORD_31edc8a1bff1,抖音_20260605_2a939a18,DY_6681,SKU8792,抖音,1,843.830192,843.83,74.78,769.05,0,completed,2026-06-05T22:31:27.004009,
ORD_68c823e8a119,抖音_20260605_2a939a18,DY_6681,SKU2461,抖音,4,283.640933,1134.56,10.6,1123.96,0,shipped,2026-06-05T22:31:27.003588,
ORD_cb2d3b75650a,抖音_20260605_2a939a18,DY_6681,SKU4647,抖音,4,507.540604,2030.16,212.41,1817.75,0,pending,2026-06-05T22:31:27.003193,
ORD_a7ca04aa32ef,抖音_20260605_2a939a18,DY_6681,SKU4423,抖音,3,334.74207,1004.23,139.89,864.34,0,shipped,2026-06-05T22:31:27.002678,
ORD_f7a7892616a1,抖音_20260605_2a939a18,DY_6681,SKU4173,抖音,4,725.587974,2902.35,381.62,2520.73,0,completed,2026-06-05T22:31:27.001666,
ORD_6485ced9619f,抖音_20260605_2a939a18,DY_6681,SKU8057,抖音,5,125.790529,628.95,18.86,610.09,0,paid,2026-06-05T22:31:26.998848,
ORD_4fcc505fb7e2,抖音_20260605_2a939a18,DY_6681,SKU7787,抖音,2,437.223937,874.45,77.84,796.61,0,completed,2026-06-05T22:31:26.997819,
ORD_360d7819b834,抖音_20260605_2a939a18,DY_6681,SKU8447,抖音,1,964.865842,964.87,50.32,914.55,0,shipped,2026-06-05T22:31:26.997307,
ORD_63f0aadf3c9c,抖音_20260605_2a939a18,DY_6681,SKU7550,抖音,2,574.428868,1148.86,158.3,990.56,0,shipped,2026-06-05T22:31:26.996956,
ORD_34076fc3adc8,抖音_20260605_2a939a18,DY_6681,SKU6857,抖音,5,36.251893,181.26,13.23,168.03,0,completed,2026-06-05T22:31:26.996292,
ORD_ac2f2eef35d8,抖音_20260605_2a939a18,DY_6681,SKU2829,抖音,1,322.812463,322.81,27.31,295.5,0,paid,2026-06-05T22:31:26.996024,
ORD_97a4a4d1dcfc,抖音_20260605_2a939a18,DY_6681,SKU7264,抖音,2,553.802928,1107.61,46.46,1061.15,0,completed,2026-06-05T22:31:26.995771,
ORD_df85c847cbd1,抖音_20260605_2a939a18,DY_6681,SKU3945,抖音,3,374.562704,1123.69,148.66,975.03,0,completed,2026-06-05T22:31:26.995507,
ORD_9edec6b9b146,抖音_20260605_2a939a18,DY_6681,SKU8783,抖音,3,520.892775,1562.68,207.23,1355.45,0,pending,2026-06-05T22:31:26.995238,
ORD_2325b2b76a34,抖音_20260605_2a939a18,DY_6681,SKU9472,抖音,2,325.740053,651.48,15.37,636.11,0,paid,2026-06-05T22:31:26.994943,
ORD_f99fc01d0e64,抖音_20260605_2a939a18,DY_6681,SKU2067,抖音,3,402.447302,1207.34,42.45,1164.89,0,pending,2026-06-05T22:31:26.994619,
ORD_dab41492dcb4,抖音_20260605_2a939a18,DY_6681,SKU6338,抖音,5,877.055988,4385.28,60.25,4325.03,0,pending,2026-06-05T22:31:26.994266,
ORD_ec9dd2eaf4c4,抖音_20260605_2a939a18,DY_6681,SKU2017,抖音,1,924.14579,924.15,124.05,800.1,0,pending,2026-06-05T22:31:26.993724,
ORD_f89233c037a3,抖音_20260605_2a939a18,DY_6681,SKU2850,抖音,1,61.167817,61.17,4.83,56.34,0,paid,2026-06-05T22:31:26.993305,
ORD_5be6894a6558,抖音_20260605_2a939a18,DY_6681,SKU4927,抖音,4,494.695165,1978.78,113.74,1865.04,0,paid,2026-06-05T22:31:26.992720,
ORD_98759dc8e582,抖音_20260605_2a939a18,DY_6681,SKU2149,抖音,2,351.758845,703.52,27.41,676.11,0,completed,2026-06-05T22:31:26.991367,
ORD_41687e0a9f04,抖音_20260605_2a939a18,DY_6681,SKU9542,抖音,5,447.912795,2239.56,163.12,2076.44,0,completed,2026-06-05T22:31:26.990300,
ORD_e302be28383f,抖音_20260605_2a939a18,DY_6681,SKU7385,抖音,2,252.869291,505.74,41.11,464.63,0,pending,2026-06-05T22:31:26.990038,
ORD_653e31647889,抖音_20260605_2a939a18,DY_6681,SKU4571,抖音,1,928.081558,928.08,44.71,883.37,0,shipped,2026-06-05T22:31:26.989773,
ORD_a9233d55648d,抖音_20260605_2a939a18,DY_6681,SKU8630,抖音,3,104.765597,314.3,8.72,305.58,0,paid,2026-06-05T22:31:26.989514,
ORD_2c312aa23b49,抖音_20260605_2a939a18,DY_6681,SKU3424,抖音,5,884.794128,4423.97,241.25,4182.72,0,pending,2026-06-05T22:31:26.989254,
ORD_3fe9fbfdcb3a,抖音_20260605_2a939a18,DY_6681,SKU3721,抖音,1,893.553611,893.55,1.65,891.9,0,shipped,2026-06-05T22:31:26.988984,
ORD_904a56abaf0a,抖音_20260605_2a939a18,DY_6681,SKU7559,抖音,4,946.98375,3787.93,369.38,3418.55,0,pending,2026-06-05T22:31:26.988696,
ORD_5da427d7a356,抖音_20260605_2a939a18,DY_6681,SKU8387,抖音,5,298.740602,1493.7,151.43,1342.27,0,paid,2026-06-05T22:31:26.988402,
ORD_8ddde6e24687,抖音_20260605_2a939a18,DY_6681,SKU2257,抖音,4,862.264162,3449.06,9.53,3439.53,0,completed,2026-06-05T22:31:26.988080,
ORD_7286eb44bd4f,抖音_20260605_2a939a18,DY_6681,SKU4860,抖音,2,51.065235,102.13,9.41,92.72,0,pending,2026-06-05T22:31:26.987655,
ORD_55bfb0836816,抖音_20260605_2a939a18,DY_6681,SKU8393,抖音,3,129.606195,388.82,10.98,377.84,0,shipped,2026-06-05T22:31:26.987014,
ORD_005ad21b4dcd,抖音_20260605_2a939a18,DY_6681,SKU8439,抖音,4,707.016617,2828.07,363.84,2464.23,0,paid,2026-06-05T22:31:26.986484,
ORD_584c0683285e,抖音_20260605_2a939a18,DY_6681,SKU5118,抖音,2,796.805325,1593.61,9.69,1583.92,0,shipped,2026-06-05T22:31:26.986069,
ORD_3b6814d5a5ce,抖音_20260605_2a939a18,DY_6681,SKU6721,抖音,4,793.886478,3175.55,308.85,2866.7,0,shipped,2026-06-05T22:31:26.985404,
ORD_88fad49a9ce6,抖音_20260605_2a939a18,DY_6681,SKU4584,抖音,3,36.585558,109.76,4.25,105.51,0,pending,2026-06-05T22:31:26.984903,
ORD_2facb16cff0d,抖音_20260605_2a939a18,DY_6681,SKU7789,抖音,4,828.312179,3313.25,343.64,2969.61,0,pending,2026-06-05T22:31:26.983378,
ORD_8c4f79cff11c,抖音_20260605_2a939a18,DY_6681,SKU2153,抖音,4,965.755052,3863.02,216.52,3646.5,0,completed,2026-06-05T22:31:26.980721,
ORD_f38ec9364add,抖音_20260605_2a939a18,DY_6681,SKU6691,抖音,5,805.770248,4028.85,598.94,3429.91,0,shipped,2026-06-05T22:31:26.979292,
ORD_8bcd40784490,B站直播_20260605_59d82ef8,BZ_4936,SKU9115,B站直播,2,334.09519,668.19,53.31,614.88,0,pending,2026-06-05T22:31:26.964387,
ORD_7cf0922e955a,B站直播_20260605_59d82ef8,BZ_4936,SKU4681,B站直播,2,162.678912,325.36,20.76,304.6,0,paid,2026-06-05T22:31:26.964114,
ORD_58f2d5d98bf4,B站直播_20260605_59d82ef8,BZ_4936,SKU1847,B站直播,3,730.061379,2190.18,27.57,2162.61,0,paid,2026-06-05T22:31:26.963824,
ORD_ae23280c0e2b,B站直播_20260605_59d82ef8,BZ_4936,SKU7454,B站直播,3,2038.731077,6116.19,413.41,5702.78,0,paid,2026-06-05T22:31:26.963526,
ORD_22a8897d24f3,B站直播_20260605_59d82ef8,BZ_4936,SKU5230,B站直播,2,2436.362316,4872.72,24.7,4848.02,0,pending,2026-06-05T22:31:26.963272,
ORD_55af37bbc412,B站直播_20260605_59d82ef8,BZ_4936,SKU5825,B站直播,4,2204.697857,8818.79,283.89,8534.9,0,shipped,2026-06-05T22:31:26.963013,
ORD_5d593c1d7808,B站直播_20260605_59d82ef8,BZ_4936,SKU3590,B站直播,3,1209.834223,3629.5,203.14,3426.36,0,shipped,2026-06-05T22:31:26.962754,
ORD_0d9b08c7eb76,B站直播_20260605_59d82ef8,BZ_4936,SKU1076,B站直播,4,2217.976455,8871.91,586.97,8284.94,0,completed,2026-06-05T22:31:26.962499,
ORD_a45b6e0bce58,B站直播_20260605_59d82ef8,BZ_4936,SKU1459,B站直播,1,1339.701228,1339.7,15.91,1323.79,0,paid,2026-06-05T22:31:26.962243,
ORD_fb232441473c,B站直播_20260605_59d82ef8,BZ_4936,SKU6185,B站直播,3,168.219754,504.66,6.74,497.92,0,paid,2026-06-05T22:31:26.961980,
ORD_05cefa383218,B站直播_20260605_59d82ef8,BZ_4936,SKU4428,B站直播,4,1484.092103,5936.37,374.03,5562.34,0,paid,2026-06-05T22:31:26.961721,
ORD_ab5d60f1fc8a,B站直播_20260605_59d82ef8,BZ_4936,SKU8300,B站直播,3,2276.023391,6828.07,208.86,6619.21,0,paid,2026-06-05T22:31:26.961462,
ORD_e6035974043f,B站直播_20260605_59d82ef8,BZ_4936,SKU5264,B站直播,1,1774.031016,1774.03,117.93,1656.1,0,shipped,2026-06-05T22:31:26.961198,
ORD_c23792e5127d,B站直播_20260605_59d82ef8,BZ_4936,SKU8115,B站直播,3,2138.168462,6414.51,109.82,6304.69,0,pending,2026-06-05T22:31:26.960941,
ORD_f427fa21064a,B站直播_20260605_59d82ef8,BZ_4936,SKU8565,B站直播,2,949.540615,1899.08,148.6,1750.48,0,pending,2026-06-05T22:31:26.960680,
ORD_87253947c37e,B站直播_20260605_59d82ef8,BZ_4936,SKU1779,B站直播,2,667.602889,1335.21,67,1268.21,0,shipped,2026-06-05T22:31:26.960413,
ORD_3b322a4d14e1,B站直播_20260605_59d82ef8,BZ_4936,SKU5498,B站直播,1,2465.984333,2465.98,91.59,2374.39,0,paid,2026-06-05T22:31:26.960138,
ORD_b926e33ccb60,B站直播_20260605_59d82ef8,BZ_4936,SKU5955,B站直播,3,1242.596045,3727.79,45.19,3682.6,0,completed,2026-06-05T22:31:26.959865,
ORD_fd59436204a2,B站直播_20260605_59d82ef8,BZ_4936,SKU8686,B站直播,3,2384.838332,7154.51,285.79,6868.72,0,paid,2026-06-05T22:31:26.959586,
ORD_d705f5d87845,B站直播_20260605_59d82ef8,BZ_4936,SKU4305,B站直播,4,798.659592,3194.64,232.5,2962.14,0,pending,2026-06-05T22:31:26.959290,
ORD_4937e747483b,B站直播_20260605_59d82ef8,BZ_4936,SKU4767,B站直播,1,2299.747308,2299.75,182.26,2117.49,0,shipped,2026-06-05T22:31:26.958935,
ORD_214e3acb0c01,B站直播_20260605_59d82ef8,BZ_4936,SKU3505,B站直播,4,602.980958,2411.92,115.68,2296.24,0,completed,2026-06-05T22:31:26.958431,
ORD_7510e3805268,B站直播_20260605_59d82ef8,BZ_4936,SKU8413,B站直播,3,215.790861,647.37,16.19,631.18,0,shipped,2026-06-05T22:31:26.957622,
ORD_12c39507d12e,B站直播_20260605_7201bb5f,BZ_6822,SKU8911,B站直播,4,1149.685696,4598.74,336.31,4262.43,0,completed,2026-06-05T22:31:26.944731,
ORD_2fa168622cb8,B站直播_20260605_7201bb5f,BZ_6822,SKU9858,B站直播,4,2068.91548,8275.66,59.58,8216.08,0,pending,2026-06-05T22:31:26.944439,
ORD_66b185c2a239,B站直播_20260605_7201bb5f,BZ_6822,SKU3557,B站直播,4,147.735423,590.94,34.71,556.23,0,pending,2026-06-05T22:31:26.944121,
ORD_cf5f4f8a4fb5,B站直播_20260605_7201bb5f,BZ_6822,SKU2460,B站直播,3,1722.125802,5166.38,125.13,5041.25,0,shipped,2026-06-05T22:31:26.943674,
ORD_15e13db7c63f,B站直播_20260605_7201bb5f,BZ_6822,SKU5122,B站直播,3,2091.778605,6275.34,405.82,5869.52,0,completed,2026-06-05T22:31:26.943307,
ORD_f3b8cd1f62a3,B站直播_20260605_7201bb5f,BZ_6822,SKU6939,B站直播,4,1502.032338,6008.13,111.35,5896.78,0,pending,2026-06-05T22:31:26.942968,
